№;Запрос;Кластер;Частотность (оценка)
1;индиго конкурс;Брендовые;Средняя
2;индиго фестиваль;Брендовые;Средняя
3;фестиваль индиго воронеж;Брендовые;Низкая
4;конкурс индиго воронеж;Брендовые;Низкая
5;индиго арт конкурс;Брендовые;Низкая
6;индиго здесь рождаются звезды;Брендовые;Низкая
7;индиго конкурс для детей отзывы;Брендовые;Низкая
8;индиго конкурс регистрация;Брендовые;Низкая
9;индиго конкурс результаты;Брендовые;Низкая
10;индиго конкурс жюри;Брендовые;Низкая
11;детский конкурс;Детские конкурсы (общие);Высокая
12;детский фестиваль;Детские конкурсы (общие);Высокая
13;конкурсы для детей;Детские конкурсы (общие);Высокая
14;фестивали для детей;Детские конкурсы (общие);Высокая
15;творческий конкурс для детей;Детские конкурсы (общие);Высокая
16;конкурс для детей 2026;Детские конкурсы (общие);Средняя
17;фестиваль детского творчества;Детские конкурсы (общие);Высокая
18;конкурс детского творчества;Детские конкурсы (общие);Высокая
19;всероссийский конкурс для детей;Детские конкурсы (общие);Средняя
20;международный конкурс для детей;Детские конкурсы (общие);Средняя
21;конкурс для юных талантов;Детские конкурсы (общие);Средняя
22;конкурс молодых талантов;Детские конкурсы (общие);Средняя
23;фестиваль юных дарований;Детские конкурсы (общие);Низкая
24;конкурс для детского коллектива;Детские конкурсы (общие);Низкая
25;детский творческий фестиваль 2026;Детские конкурсы (общие);Низкая
26;конкурсы для школьников творческие;Детские конкурсы (общие);Низкая
27;конкурсы искусств для детей;Детские конкурсы (общие);Средняя
28;фестиваль искусств для детей;Детские конкурсы (общие);Средняя
29;детский конкурс с дипломом;Детские конкурсы (общие);Низкая
30;детский конкурс онлайн;Детские конкурсы (общие);Средняя
31;конкурс для детей без выезда;Детские конкурсы (общие);Низкая
32;заочный конкурс для детей;Детские конкурсы (общие);Средняя
33;очно заочный конкурс для детей;Детские конкурсы (общие);Средняя
34;конкурс для детского сада;Детские конкурсы (общие);Средняя
35;конкурс для дошкольников творческий;Детские конкурсы (общие);Низкая
36;конкурс для учеников школы искусств;Детские конкурсы (общие);Низкая
37;конкурс для воспитанников;Детские конкурсы (общие);Низкая
38;творческий конкурс для коллективов;Детские конкурсы (общие);Низкая
39;конкурс для солистов;Детские конкурсы (общие);Средняя
40;конкурс для ансамблей;Детские конкурсы (общие);Низкая
41;вокальный конкурс;Вокальные конкурсы;Высокая
42;конкурс вокала;Вокальные конкурсы;Высокая
43;конкурс вокала для детей;Вокальные конкурсы;Высокая
44;детский вокальный конкурс;Вокальные конкурсы;Высокая
45;международный вокальный конкурс;Вокальные конкурсы;Средняя
46;всероссийский вокальный конкурс;Вокальные конкурсы;Средняя
47;конкурс эстрадного вокала;Вокальные конкурсы;Средняя
48;конкурс академического вокала;Вокальные конкурсы;Низкая
49;конкурс народного вокала;Вокальные конкурсы;Низкая
50;конкурс джазового вокала;Вокальные конкурсы;Низкая
51;конкурс вокально хоровых коллективов;Вокальные конкурсы;Низкая
52;конкурс хорового пения;Вокальные конкурсы;Средняя
53;конкурс хоров;Вокальные конкурсы;Средняя
54;фестиваль вокала;Вокальные конкурсы;Средняя
55;фестиваль хорового искусства;Вокальные конкурсы;Низкая
56;конкурс юных вокалистов;Вокальные конкурсы;Средняя
57;конкурс молодых вокалистов;Вокальные конкурсы;Низкая
58;конкурс солистов вокалистов;Вокальные конкурсы;Низкая
59;конкурс вокальных ансамблей;Вокальные конкурсы;Низкая
60;конкурс эстрадной песни;Вокальные конкурсы;Средняя
61;конкурс патриотической песни;Вокальные конкурсы;Средняя
62;конкурс военной песни;Вокальные конкурсы;Низкая
63;конкурс детской песни;Вокальные конкурсы;Средняя
64;конкурс авторской песни;Вокальные конкурсы;Низкая
65;конкурс караоке для детей;Вокальные конкурсы;Низкая
66;вокальный конкурс участие;Вокальные конкурсы;Низкая
67;вокальный конкурс положение;Вокальные конкурсы;Средняя
68;вокальный конкурс номинации;Вокальные конкурсы;Низкая
69;конкурс вокалистов онлайн;Вокальные конкурсы;Низкая
70;конкурс вокала заочный;Вокальные конкурсы;Низкая
71;конкурс вокала очно заочный;Вокальные конкурсы;Низкая
72;конкурс пения для детей;Вокальные конкурсы;Средняя
73;детский конкурс пения;Вокальные конкурсы;Средняя
74;конкурс вокала для начинающих;Вокальные конкурсы;Низкая
75;международный конкурс вокала для детей;Вокальные конкурсы;Средняя
76;всероссийский конкурс вокала для детей;Вокальные конкурсы;Средняя
77;конкурс вокала для музыкальной школы;Вокальные конкурсы;Низкая
78;конкурс вокала для школы искусств;Вокальные конкурсы;Низкая
79;детский конкурс эстрадной песни;Вокальные конкурсы;Низкая
80;фестиваль детской песни;Вокальные конкурсы;Средняя
81;хореографический конкурс;Хореографические конкурсы;Высокая
82;конкурс танцев;Хореографические конкурсы;Высокая
83;детский конкурс танцев;Хореографические конкурсы;Высокая
84;конкурс хореографии для детей;Хореографические конкурсы;Высокая
85;международный конкурс танцев;Хореографические конкурсы;Средняя
86;всероссийский конкурс хореографии;Хореографические конкурсы;Средняя
87;конкурс современного танца;Хореографические конкурсы;Средняя
88;конкурс народного танца;Хореографические конкурсы;Средняя
89;конкурс эстрадного танца;Хореографические конкурсы;Средняя
90;конкурс классического танца;Хореографические конкурсы;Низкая
91;конкурс бального танца;Хореографические конкурсы;Средняя
92;конкурс уличного танца;Хореографические конкурсы;Средняя
93;конкурс хип хопа;Хореографические конкурсы;Низкая
94;конкурс брейк данса;Хореографические конкурсы;Низкая
95;конкурс контемпорари;Хореографические конкурсы;Низкая
96;фестиваль танца;Хореографические конкурсы;Средняя
97;фестиваль хореографии;Хореографические конкурсы;Средняя
98;конкурс танцевальных коллективов;Хореографические конкурсы;Средняя
99;конкурс танцевальных ансамблей;Хореографические конкурсы;Низкая
100;конкурс балета для детей;Хореографические конкурсы;Низкая
101;конкурс для танцевальных студий;Хореографические конкурсы;Низкая
102;конкурс хореографических постановок;Хореографические конкурсы;Низкая
103;конкурс соло танец;Хореографические конкурсы;Низкая
104;конкурс дуэт танец;Хореографические конкурсы;Низкая
105;конкурс детского танца онлайн;Хореографические конкурсы;Низкая
106;конкурс хореографии заочный;Хореографические конкурсы;Низкая
107;конкурс хореографии очно заочный;Хореографические конкурсы;Низкая
108;международный конкурс хореографии для детей;Хореографические конкурсы;Средняя
109;всероссийский конкурс танцев для детей;Хореографические конкурсы;Средняя
110;конкурс танцев для школы танцев;Хореографические конкурсы;Низкая
111;конкурс хореографии положение;Хореографические конкурсы;Низкая
112;конкурс хореографии номинации;Хореографические конкурсы;Низкая
113;конкурс современной хореографии;Хореографические конкурсы;Средняя
114;конкурс народно сценического танца;Хореографические конкурсы;Низкая
115;конкурс спортивного танца;Хореографические конкурсы;Низкая
116;конкурс черлидинга;Хореографические конкурсы;Низкая
117;фестиваль детского танца;Хореографические конкурсы;Средняя
118;конкурс танцев для детского сада;Хореографические конкурсы;Низкая
119;конкурс хореографических коллективов дети;Хореографические конкурсы;Низкая
120;конкурс танцев участие подать заявку;Хореографические конкурсы;Низкая
121;театральный конкурс;Театральные конкурсы;Средняя
122;конкурс театральных коллективов;Театральные конкурсы;Средняя
123;детский театральный конкурс;Театральные конкурсы;Средняя
124;международный театральный конкурс;Театральные конкурсы;Низкая
125;всероссийский конкурс театральных коллективов;Театральные конкурсы;Низкая
126;конкурс художественного слова;Театральные конкурсы;Средняя
127;конкурс чтецов;Театральные конкурсы;Высокая
128;конкурс юных чтецов;Театральные конкурсы;Средняя
129;фестиваль театрального искусства;Театральные конкурсы;Низкая
130;фестиваль любительских театров;Театральные конкурсы;Низкая
131;конкурс актерского мастерства;Театральные конкурсы;Средняя
132;конкурс драматических коллективов;Театральные конкурсы;Низкая
133;конкурс художественного чтения;Театральные конкурсы;Низкая
134;конкурс моноспектаклей;Театральные конкурсы;Низкая
135;конкурс кукольных театров;Театральные конкурсы;Низкая
136;конкурс школьных театров;Театральные конкурсы;Низкая
137;конкурс театральных постановок для детей;Театральные конкурсы;Низкая
138;фестиваль детских театров;Театральные конкурсы;Низкая
139;конкурс сценической речи;Театральные конкурсы;Низкая
140;конкурс декламации;Театральные конкурсы;Низкая
141;конкурс поэзии для детей;Театральные конкурсы;Средняя
142;конкурс агитбригад;Театральные конкурсы;Низкая
143;конкурс художественного слова онлайн;Театральные конкурсы;Низкая
144;конкурс чтецов заочный;Театральные конкурсы;Низкая
145;конкурс театра положение;Театральные конкурсы;Низкая
146;конкурс театральный номинации;Театральные конкурсы;Низкая
147;международный конкурс чтецов;Театральные конкурсы;Низкая
148;всероссийский конкурс художественного слова;Театральные конкурсы;Низкая
149;конкурс театральных студий;Театральные конкурсы;Низкая
150;фестиваль театральных коллективов дети;Театральные конкурсы;Низкая
151;конкурс инструментальной музыки;Инструментальные конкурсы;Средняя
152;конкурс юных музыкантов;Инструментальные конкурсы;Средняя
153;детский конкурс музыкантов;Инструментальные конкурсы;Низкая
154;международный конкурс пианистов;Инструментальные конкурсы;Средняя
155;конкурс пианистов;Инструментальные конкурсы;Средняя
156;конкурс скрипачей;Инструментальные конкурсы;Низкая
157;конкурс баянистов;Инструментальные конкурсы;Низкая
158;конкурс гитаристов;Инструментальные конкурсы;Низкая
159;конкурс духовых инструментов;Инструментальные конкурсы;Низкая
160;конкурс народных инструментов;Инструментальные конкурсы;Низкая
161;конкурс фортепиано для детей;Инструментальные конкурсы;Средняя
162;конкурс камерных ансамблей;Инструментальные конкурсы;Низкая
163;конкурс оркестров;Инструментальные конкурсы;Низкая
164;конкурс музыкальных школ;Инструментальные конкурсы;Низкая
165;конкурс исполнителей на музыкальных инструментах;Инструментальные конкурсы;Низкая
166;фестиваль инструментальной музыки;Инструментальные конкурсы;Низкая
167;фестиваль юных музыкантов;Инструментальные конкурсы;Низкая
168;конкурс музыкантов исполнителей;Инструментальные конкурсы;Низкая
169;конкурс инструменталистов;Инструментальные конкурсы;Низкая
170;конкурс музыкального искусства;Инструментальные конкурсы;Низкая
171;международный конкурс музыкантов для детей;Инструментальные конкурсы;Низкая
172;всероссийский конкурс юных музыкантов;Инструментальные конкурсы;Низкая
173;конкурс инструментальной музыки положение;Инструментальные конкурсы;Низкая
174;конкурс инструментальной музыки номинации;Инструментальные конкурсы;Низкая
175;конкурс баяна и аккордеона;Инструментальные конкурсы;Низкая
176;конкурс ансамблей народных инструментов;Инструментальные конкурсы;Низкая
177;конкурс музыкального исполнительства;Инструментальные конкурсы;Низкая
178;конкурс для учащихся музыкальных школ;Инструментальные конкурсы;Низкая
179;конкурс музыкального творчества детей;Инструментальные конкурсы;Низкая
180;конкурс инструментальной музыки онлайн;Инструментальные конкурсы;Низкая
181;многожанровый конкурс;Многожанровые конкурсы искусств;Низкая
182;конкурс искусств;Многожанровые конкурсы искусств;Средняя
183;фестиваль искусств;Многожанровые конкурсы искусств;Высокая
184;международный фестиваль искусств;Многожанровые конкурсы искусств;Средняя
185;всероссийский фестиваль искусств;Многожанровые конкурсы искусств;Средняя
186;конкурс разных жанров творчества;Многожанровые конкурсы искусств;Низкая
187;фестиваль детского и юношеского творчества;Многожанровые конкурсы искусств;Средняя
188;конкурс изобразительного искусства для детей;Многожанровые конкурсы искусств;Средняя
189;конкурс декоративно прикладного искусства;Многожанровые конкурсы искусств;Средняя
190;конкурс художественного творчества;Многожанровые конкурсы искусств;Низкая
191;фестиваль детского творчества всех жанров;Многожанровые конкурсы искусств;Низкая
192;конкурс цирковых номеров;Многожанровые конкурсы искусств;Низкая
193;конкурс оригинального жанра;Многожанровые конкурсы искусств;Низкая
194;конкурс мода и стиль дефиле;Многожанровые конкурсы искусств;Низкая
195;конкурс дефиле для детей;Многожанровые конкурсы искусств;Низкая
196;фестиваль конкурс многожанровый для детей;Многожанровые конкурсы искусств;Низкая
197;конкурс творческих коллективов всех жанров;Многожанровые конкурсы искусств;Низкая
198;фестиваль звезд для детей;Многожанровые конкурсы искусств;Низкая
199;конкурс талантов для детей;Многожанровые конкурсы искусств;Средняя
200;шоу талантов для детей конкурс;Многожанровые конкурсы искусств;Низкая
201;международный конкурс фестиваль;Международный и всероссийский уровень;Средняя
202;международный творческий конкурс;Международный и всероссийский уровень;Средняя
203;международный конкурс для коллективов;Международный и всероссийский уровень;Низкая
204;международный фестиваль конкурс детского творчества;Международный и всероссийский уровень;Низкая
205;международный конкурс лауреат;Международный и всероссийский уровень;Низкая
206;всероссийский конкурс фестиваль;Международный и всероссийский уровень;Средняя
207;всероссийский творческий конкурс;Международный и всероссийский уровень;Средняя
208;всероссийский конкурс для коллективов;Международный и всероссийский уровень;Низкая
209;региональный конкурс детского творчества;Международный и всероссийский уровень;Низкая
210;открытый международный конкурс;Международный и всероссийский уровень;Низкая
211;открытый всероссийский конкурс;Международный и всероссийский уровень;Низкая
212;международный конкурс с выездом за рубеж;Международный и всероссийский уровень;Низкая
213;международный конкурс диплом лауреата;Международный и всероссийский уровень;Низкая
214;международный конкурс гран при;Международный и всероссийский уровень;Низкая
215;международный фестиваль детского творчества 2026;Международный и всероссийский уровень;Низкая
216;всероссийский фестиваль детского творчества 2026;Международный и всероссийский уровень;Низкая
217;международный конкурс участие из другого города;Международный и всероссийский уровень;Низкая
218;международный конкурс участие онлайн;Международный и всероссийский уровень;Низкая
219;международный творческий конкурс для школ;Международный и всероссийский уровень;Низкая
220;всероссийский творческий конкурс для школ;Международный и всероссийский уровень;Низкая
221;конкурс фестиваль воронеж;Города и география;Средняя
222;детский конкурс воронеж;Города и география;Средняя
223;конкурс для детей воронеж 2026;Города и география;Низкая
224;фестиваль детского творчества воронеж;Города и география;Низкая
225;конкурс вокала воронеж;Города и география;Низкая
226;конкурс хореографии воронеж;Города и география;Низкая
227;конкурс танцев воронеж;Города и география;Низкая
228;конкурс искусств воронеж;Города и география;Низкая
229;творческий конкурс черноземье;Города и география;Низкая
230;конкурс для детей центральный федеральный округ;Города и география;Низкая
231;фестиваль конкурс москва для детей;Города и география;Средняя
232;фестиваль конкурс санкт петербург для детей;Города и география;Средняя
233;конкурс для детей курск;Города и география;Низкая
234;конкурс для детей белгород;Города и география;Низкая
235;конкурс для детей липецк;Города и география;Низкая
236;конкурс для детей тамбов;Города и география;Низкая
237;конкурс для детей орел;Города и география;Низкая
238;конкурс для детей ростов на дону;Города и география;Низкая
239;конкурс для детей краснодар;Города и география;Низкая
240;конкурс для детей поволжье;Города и география;Низкая
241;как принять участие в конкурсе;Информационные запросы;Средняя
242;как подать заявку на конкурс;Информационные запросы;Средняя
243;положение о конкурсе фестивале;Информационные запросы;Средняя
244;положение о конкурсе скачать;Информационные запросы;Низкая
245;номинации конкурса какие бывают;Информационные запросы;Низкая
246;возрастные категории конкурса;Информационные запросы;Низкая
247;как получить диплом лауреата;Информационные запросы;Низкая
248;диплом лауреата конкурса;Информационные запросы;Средняя
249;диплом дипломанта конкурса;Информационные запросы;Низкая
250;гран при конкурса что это;Информационные запросы;Низкая
251;что такое очно заочный конкурс;Информационные запросы;Низкая
252;что такое заочный конкурс;Информационные запросы;Низкая
253;жюри конкурса как выбирают;Информационные запросы;Низкая
254;критерии оценки конкурса;Информационные запросы;Низкая
255;как подготовиться к конкурсу вокала;Информационные запросы;Низкая
256;как подготовиться к конкурсу танцев;Информационные запросы;Низкая
257;как выбрать конкурс для ребенка;Информационные запросы;Низкая
258;стоит ли участвовать в конкурсе ребенку;Информационные запросы;Низкая
259;сколько стоит участие в конкурсе;Информационные запросы;Средняя
260;оргвзнос за участие в конкурсе;Информационные запросы;Низкая
261;какие документы нужны для участия в конкурсе;Информационные запросы;Низкая
262;договор оферты конкурса;Информационные запросы;Низкая
263;расписание конкурса программа;Информационные запросы;Низкая
264;результаты конкурса когда узнать;Информационные запросы;Низкая
265;как получить кубок победителя конкурса;Информационные запросы;Низкая
266;благодарность руководителю коллектива конкурс;Информационные запросы;Низкая
267;сертификат участника конкурса;Информационные запросы;Низкая
268;отзывы о конкурсе для детей;Информационные запросы;Низкая
269;рейтинг детских конкурсов;Информационные запросы;Низкая
270;лучшие конкурсы для детей 2026;Информационные запросы;Средняя
271;подать заявку на конкурс онлайн;Транзакционные запросы;Средняя
272;зарегистрироваться на конкурс;Транзакционные запросы;Средняя
273;регистрация на фестиваль конкурс;Транзакционные запросы;Низкая
274;личный кабинет участника конкурса;Транзакционные запросы;Низкая
275;купить билет на фестиваль конкурс;Транзакционные запросы;Низкая
276;расписание конкурса скачать;Транзакционные запросы;Низкая
277;скачать диплом с конкурса;Транзакционные запросы;Низкая
278;проверить диплом конкурса;Транзакционные запросы;Низкая
279;оплата участия в конкурсе;Транзакционные запросы;Низкая
280;форма заявки на конкурс;Транзакционные запросы;Низкая
281;заявка на участие в конкурсе вокал;Транзакционные запросы;Средняя
282;заявка на участие в конкурсе танцы;Транзакционные запросы;Средняя
283;заявка на участие в конкурсе театр;Транзакционные запросы;Низкая
284;заявка на участие в конкурсе музыка;Транзакционные запросы;Низкая
285;подать заявку на международный конкурс;Транзакционные запросы;Низкая
286;подать заявку на всероссийский конкурс;Транзакционные запросы;Низкая
287;конкурс фестиваль расписание выступлений;Транзакционные запросы;Низкая
288;личный кабинет руководителя коллектива;Транзакционные запросы;Низкая
289;загрузить фонограмму для конкурса;Транзакционные запросы;Низкая
290;конкурс для детей ближайший;Транзакционные запросы;Низкая
291;конкурс для детей записаться;Транзакционные запросы;Низкая
292;конкурс детского творчества расписание 2026;Транзакционные запросы;Низкая
293;фестиваль конкурс купить абонемент;Транзакционные запросы;Низкая
294;конкурс детского творчества итоги результаты;Транзакционные запросы;Средняя
295;получить диплом лауреата онлайн;Транзакционные запросы;Низкая
296;конкурс дуэтов вокал;Вокальные конкурсы;Низкая
297;конкурс трио вокал;Вокальные конкурсы;Низкая
298;конкурс малые формы хореография;Хореографические конкурсы;Низкая
299;конкурс формейшн хореография;Хореографические конкурсы;Низкая
300;фестиваль конкурс детских творческих коллективов;Детские конкурсы (общие);Средняя
301;конкурс для детей московская область;Города и география;Средняя
302;детский конкурс московская область;Города и география;Низкая
303;конкурс для детей ленинградская область;Города и география;Низкая
304;детский конкурс ленинградская область;Города и география;Низкая
305;конкурс для детей севастополь;Города и география;Низкая
306;детский конкурс севастополь;Города и география;Низкая
307;конкурс для детей симферополь;Города и география;Низкая
308;детский конкурс крым;Города и география;Низкая
309;конкурс для детей майкоп;Города и география;Низкая
310;конкурс для детей республика адыгея;Города и география;Низкая
311;конкурс для детей горно алтайск;Города и география;Низкая
312;конкурс для детей республика алтай;Города и география;Низкая
313;конкурс для детей уфа;Города и география;Средняя
314;детский конкурс башкортостан;Города и география;Средняя
315;конкурс для детей улан удэ;Города и география;Низкая
316;детский конкурс бурятия;Города и география;Низкая
317;конкурс для детей махачкала;Города и география;Низкая
318;детский конкурс дагестан;Города и география;Низкая
319;конкурс для детей магас;Города и география;Низкая
320;детский конкурс ингушетия;Города и география;Низкая
321;конкурс для детей нальчик;Города и география;Низкая
322;детский конкурс кабардино балкария;Города и география;Низкая
323;конкурс для детей элиста;Города и география;Низкая
324;детский конкурс калмыкия;Города и география;Низкая
325;конкурс для детей черкесск;Города и география;Низкая
326;детский конкурс карачаево черкесия;Города и география;Низкая
327;конкурс для детей петрозаводск;Города и география;Низкая
328;детский конкурс карелия;Города и география;Низкая
329;конкурс для детей сыктывкар;Города и география;Низкая
330;детский конкурс республика коми;Города и география;Низкая
331;конкурс для детей йошкар ола;Города и география;Низкая
332;детский конкурс марий эл;Города и география;Низкая
333;конкурс для детей саранск;Города и география;Низкая
334;детский конкурс мордовия;Города и география;Низкая
335;конкурс для детей якутск;Города и география;Низкая
336;детский конкурс саха якутия;Города и география;Низкая
337;конкурс для детей владикавказ;Города и география;Низкая
338;детский конкурс северная осетия;Города и география;Низкая
339;конкурс для детей казань;Города и география;Средняя
340;детский конкурс татарстан;Города и география;Средняя
341;конкурс для детей кызыл;Города и география;Низкая
342;детский конкурс тыва;Города и география;Низкая
343;конкурс для детей ижевск;Города и география;Низкая
344;детский конкурс удмуртия;Города и география;Низкая
345;конкурс для детей абакан;Города и география;Низкая
346;детский конкурс хакасия;Города и география;Низкая
347;конкурс для детей грозный;Города и география;Низкая
348;детский конкурс чечня;Города и география;Низкая
349;конкурс для детей чебоксары;Города и география;Низкая
350;детский конкурс чувашия;Города и география;Низкая
351;конкурс для детей барнаул;Города и география;Средняя
352;детский конкурс алтайский край;Города и география;Низкая
353;конкурс для детей чита;Города и география;Низкая
354;детский конкурс забайкальский край;Города и география;Низкая
355;конкурс для детей петропавловск камчатский;Города и география;Низкая
356;детский конкурс камчатский край;Города и география;Низкая
357;конкурс для детей красноярск;Города и география;Средняя
358;детский конкурс красноярский край;Города и география;Средняя
359;конкурс для детей пермь;Города и география;Средняя
360;детский конкурс пермский край;Города и география;Средняя
361;конкурс для детей владивосток;Города и география;Средняя
362;детский конкурс приморский край;Города и география;Низкая
363;конкурс для детей ставрополь;Города и география;Низкая
364;детский конкурс ставропольский край;Города и география;Низкая
365;конкурс для детей хабаровск;Города и география;Средняя
366;детский конкурс хабаровский край;Города и география;Низкая
367;конкурс для детей благовещенск;Города и география;Низкая
368;детский конкурс амурская область;Города и география;Низкая
369;конкурс для детей архангельск;Города и география;Низкая
370;детский конкурс архангельская область;Города и география;Низкая
371;конкурс для детей астрахань;Города и география;Низкая
372;детский конкурс астраханская область;Города и география;Низкая
373;конкурс для детей брянск;Города и география;Низкая
374;детский конкурс брянская область;Города и география;Низкая
375;конкурс для детей владимир;Города и география;Низкая
376;детский конкурс владимирская область;Города и география;Низкая
377;конкурс для детей волгоград;Города и география;Средняя
378;детский конкурс волгоградская область;Города и география;Низкая
379;конкурс для детей вологда;Города и география;Низкая
380;детский конкурс вологодская область;Города и география;Низкая
381;конкурс для детей иваново;Города и география;Низкая
382;детский конкурс ивановская область;Города и география;Низкая
383;конкурс для детей иркутск;Города и география;Средняя
384;детский конкурс иркутская область;Города и география;Низкая
385;конкурс для детей калининград;Города и география;Средняя
386;детский конкурс калининградская область;Города и география;Низкая
387;конкурс для детей калуга;Города и география;Низкая
388;детский конкурс калужская область;Города и география;Низкая
389;конкурс для детей кемерово;Города и география;Низкая
390;детский конкурс кемеровская область;Города и география;Низкая
391;конкурс для детей киров;Города и география;Низкая
392;детский конкурс кировская область;Города и география;Низкая
393;конкурс для детей кострома;Города и география;Низкая
394;детский конкурс костромская область;Города и география;Низкая
395;конкурс для детей курган;Города и география;Низкая
396;детский конкурс курганская область;Города и география;Низкая
397;конкурс для детей магадан;Города и география;Низкая
398;детский конкурс магаданская область;Города и география;Низкая
399;конкурс для детей мурманск;Города и география;Низкая
400;детский конкурс мурманская область;Города и география;Низкая
401;конкурс для детей нижний новгород;Города и география;Средняя
402;детский конкурс нижегородская область;Города и география;Средняя
403;конкурс для детей великий новгород;Города и география;Низкая
404;детский конкурс новгородская область;Города и география;Низкая
405;конкурс для детей новосибирск;Города и география;Средняя
406;детский конкурс новосибирская область;Города и география;Средняя
407;конкурс для детей омск;Города и география;Средняя
408;детский конкурс омская область;Города и география;Низкая
409;конкурс для детей оренбург;Города и география;Низкая
410;детский конкурс оренбургская область;Города и география;Низкая
411;конкурс для детей пенза;Города и география;Низкая
412;детский конкурс пензенская область;Города и география;Низкая
413;конкурс для детей псков;Города и география;Низкая
414;детский конкурс псковская область;Города и география;Низкая
415;конкурс для детей рязань;Города и география;Низкая
416;детский конкурс рязанская область;Города и география;Низкая
417;конкурс для детей самара;Города и география;Средняя
418;детский конкурс самарская область;Города и география;Средняя
419;конкурс для детей саратов;Города и география;Низкая
420;детский конкурс саратовская область;Города и география;Низкая
421;конкурс для детей южно сахалинск;Города и география;Низкая
422;детский конкурс сахалинская область;Города и география;Низкая
423;конкурс для детей екатеринбург;Города и география;Средняя
424;детский конкурс свердловская область;Города и география;Средняя
425;конкурс для детей смоленск;Города и география;Низкая
426;детский конкурс смоленская область;Города и география;Низкая
427;конкурс для детей тверь;Города и география;Низкая
428;детский конкурс тверская область;Города и география;Низкая
429;конкурс для детей томск;Города и география;Низкая
430;детский конкурс томская область;Города и география;Низкая
431;конкурс для детей тула;Города и география;Низкая
432;детский конкурс тульская область;Города и география;Низкая
433;конкурс для детей тюмень;Города и география;Средняя
434;детский конкурс тюменская область;Города и география;Низкая
435;конкурс для детей ульяновск;Города и география;Низкая
436;детский конкурс ульяновская область;Города и география;Низкая
437;конкурс для детей челябинск;Города и география;Средняя
438;детский конкурс челябинская область;Города и география;Средняя
439;конкурс для детей ярославль;Города и география;Средняя
440;детский конкурс ярославская область;Города и география;Низкая
441;конкурс для детей биробиджан;Города и география;Низкая
442;детский конкурс еврейская автономная область;Города и география;Низкая
443;конкурс для детей нарьян мар;Города и география;Низкая
444;детский конкурс ненецкий автономный округ;Города и география;Низкая
445;конкурс для детей ханты мансийск;Города и география;Низкая
446;детский конкурс югра;Города и география;Низкая
447;конкурс для детей анадырь;Города и география;Низкая
448;детский конкурс чукотский автономный округ;Города и география;Низкая
449;конкурс для детей салехард;Города и география;Низкая
450;детский конкурс ямало ненецкий автономный округ;Города и география;Низкая
451;конкурс для детей донецк;Города и география;Низкая
452;детский конкурс днр;Города и география;Низкая
453;конкурс для детей луганск;Города и география;Низкая
454;детский конкурс лнр;Города и география;Низкая
455;конкурс для детей запорожье;Города и география;Низкая
456;детский конкурс запорожская область;Города и география;Низкая
457;конкурс для детей херсон;Города и география;Низкая
458;детский конкурс херсонская область;Города и география;Низкая
459;конкурс для детей северо западный федеральный округ;Города и география;Низкая
460;конкурс для детей южный федеральный округ;Города и география;Низкая
461;конкурс для детей северо кавказский федеральный округ;Города и география;Низкая
462;конкурс для детей приволжский федеральный округ;Города и география;Низкая
463;конкурс для детей уральский федеральный округ;Города и география;Низкая
464;конкурс для детей сибирский федеральный округ;Города и география;Низкая
465;конкурс для детей дальневосточный федеральный округ;Города и география;Низкая
466;конкурс для детей беларусь;Города и география;Средняя
467;детский конкурс беларусь;Города и география;Средняя
468;конкурс для детей минск;Города и география;Средняя
469;детский конкурс минск;Города и география;Средняя
470;конкурс для детей гомель;Города и география;Низкая
471;конкурс для детей могилев;Города и география;Низкая
472;конкурс для детей витебск;Города и география;Низкая
473;конкурс для детей гродно;Города и география;Низкая
474;конкурс для детей брест беларусь;Города и география;Низкая
475;международный конкурс беларусь для детей;Города и география;Низкая
476;конкурс для детей казахстан;Города и география;Средняя
477;детский конкурс казахстан;Города и география;Средняя
478;конкурс для детей алматы;Города и география;Средняя
479;детский конкурс алматы;Города и география;Низкая
480;конкурс для детей астана;Города и география;Средняя
481;детский конкурс астана;Города и география;Низкая
482;конкурс для детей шымкент;Города и география;Низкая
483;конкурс для детей караганда;Города и география;Низкая
484;конкурс для детей актобе;Города и география;Низкая
485;конкурс для детей павлодар;Города и география;Низкая
486;международный конкурс казахстан для детей;Города и география;Низкая
487;конкурс для детей узбекистан;Города и география;Средняя
488;детский конкурс узбекистан;Города и география;Средняя
489;конкурс для детей ташкент;Города и география;Средняя
490;детский конкурс ташкент;Города и география;Низкая
491;конкурс для детей самарканд;Города и география;Низкая
492;конкурс для детей бухара;Города и география;Низкая
493;конкурс для детей наманган;Города и география;Низкая
494;конкурс для детей андижан;Города и география;Низкая
495;конкурс для детей фергана;Города и география;Низкая
496;международный конкурс узбекистан для детей;Города и география;Низкая
497;международный конкурс снг для детей;Города и география;Средняя
498;международный конкурс для детей беларусь казахстан узбекистан;Города и география;Низкая
499;творческий конкурс для детей из стран снг;Города и география;Низкая
500;конкурс фестиваль для соотечественников за рубежом;Города и география;Низкая